cfpb_company_name,complaints,suggested_canonical_company_name,suggested_sec_cik,suggested_ticker,match_method,match_score,confidence_tier,manual_review_required,notes
Credit Fresh Holdings Inc,20,Fifth Third Bancorp,,,fuzzy_suggestion,0.375,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"WESTERN UNION COMPANY, THE",20,Synchrony Financial,,,fuzzy_suggestion,0.36363636363636365,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
OPORTUN FINANCIAL CORPORATION,20,JPMorgan Chase & Co.,,,fuzzy_suggestion,0.32,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Opportunity Financial, LLC",20,Synchrony Financial,,,fuzzy_suggestion,0.3,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Colony Brands, Inc.",20,M&T Bank Corporation,,,fuzzy_suggestion,0.4,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
CHERRY TECHNOLOGIES INC.,19,Fifth Third Bancorp,,,fuzzy_suggestion,0.3333333333333333,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
MORGAN STANLEY & CO. LLC,19,JPMorgan Chase & Co.,,,fuzzy_suggestion,0.7222222222222222,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Continental Services Group, Inc. d/b/a ConServe",19,Citizens Financial Group Inc.,,,fuzzy_suggestion,0.4782608695652174,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"LAKEVIEW LOAN SERVICING, LLC",19,American Express Company,,,fuzzy_suggestion,0.358974358974359,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Thaxton Investment Corporation,19,Capital One Financial Corporation,,,fuzzy_suggestion,0.3448275862068966,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Army and Air Force Exchange Service,19,American Express Company,,,fuzzy_suggestion,0.35294117647058826,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Dave Operating, LLC",19,Bank of America Corporation,,,fuzzy_suggestion,0.38095238095238093,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Sunbit, Inc.",18,Truist Financial Corporation,,,fuzzy_suggestion,0.3333333333333333,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
United PanAm Financial Corp.,18,Citizens Financial Group Inc.,,,fuzzy_suggestion,0.38461538461538464,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
FIRST NATIONAL BANK OF OMAHA,18,Capital One Financial Corporation,,,fuzzy_suggestion,0.36363636363636365,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"MARINER FINANCE, LLC",18,American Express Company,,,fuzzy_suggestion,0.3870967741935484,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
InDebted Corporation,18,M&T Bank Corporation,,,fuzzy_suggestion,0.4,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
CONTRACT CALLERS INC,17,American Express Company,,,fuzzy_suggestion,0.375,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"The Bureaus, Inc.",17,U.S. Bancorp,,,fuzzy_suggestion,0.4,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Open Dealer Exchange, LLC",17,American Express Company,,,fuzzy_suggestion,0.3888888888888889,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"AmeriHome Mortgage Company, LLC",17,Bank of America Corporation,,,fuzzy_suggestion,0.48,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Cedars Business Services, LLC",17,American Express Company,,,fuzzy_suggestion,0.3870967741935484,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Zions Debt Holdings,17,Citizens Financial Group Inc.,,,fuzzy_suggestion,0.30303030303030304,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Diverse Funding Associates LLC,17,M&T Bank Corporation,,,fuzzy_suggestion,0.30303030303030304,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
United Revenue Corporation,16,Citizens Financial Group Inc.,,,fuzzy_suggestion,0.35714285714285715,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Synergetic Communication Inc,16,Synchrony Financial,,,fuzzy_suggestion,0.36363636363636365,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
First Credit Services Inc.,16,Fifth Third Bancorp,,,fuzzy_suggestion,0.34782608695652173,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
Stellantis Financial Services US Corp.,16,Citizens Financial Group Inc.,,,fuzzy_suggestion,0.37037037037037035,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"Professional Debt Mediation, Inc.",16,Capital One Financial Corporation,,,fuzzy_suggestion,0.3684210526315789,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
BOEING EMPLOYEES' CREDIT UNION,16,American Express Company,,,fuzzy_suggestion,0.35555555555555557,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
"LD Holdings Group, LLC",15,Citizens Financial Group Inc.,,,fuzzy_suggestion,0.5806451612903226,LOW - REJECT,True,Suggestion only. Weak matches must not be used for normalization.
